match_id,date,team1,team2,venue,city,toss_winner,toss_decision,winner,match_type,outcome_result
1490874,2025-07-09,South Korea,Philippines,Udayana Cricket Ground,Bali,Philippines,field,South Korea,T20,completed
1490875,2025-07-09,South Korea,Indonesia,Udayana Cricket Ground,Bali,South Korea,bat,Indonesia,T20,completed
1490876,2025-07-10,Indonesia,Philippines,Udayana Cricket Ground,Bali,Indonesia,bat,Philippines,T20,completed
1490877,2025-07-10,Philippines,South Korea,Udayana Cricket Ground,Bali,Philippines,bat,Philippines,T20,completed
1490878,2025-07-12,Indonesia,South Korea,Udayana Cricket Ground,Bali,South Korea,field,South Korea,T20,completed
1490879,2025-07-12,Philippines,South Korea,Udayana Cricket Ground,Bali,Philippines,bat,Philippines,T20,completed
1490880,2025-07-13,Indonesia,Philippines,Udayana Cricket Ground,Bali,Philippines,field,Philippines,T20,completed
1490881,2025-07-13,South Korea,Indonesia,Udayana Cricket Ground,Bali,South Korea,bat,Indonesia,T20,completed
1490882,2025-06-26,France,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,France,bat,Malta,T20,completed
1490884,2025-06-26,Belgium,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Malta,field,Belgium,T20,completed
1490885,2025-06-27,Hungary,Austria,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Austria,field,Austria,T20,completed
1490886,2025-06-27,Belgium,France,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Belgium,bat,Belgium,T20,completed
1490887,2025-06-27,Hungary,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,field,Romania,T20,completed
1490888,2025-06-28,Belgium,Austria,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Austria,field,Austria,T20,completed
1490889,2025-06-28,Malta,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,field,Malta,T20,completed
1490890,2025-06-29,Hungary,France,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,France,field,Hungary,T20,completed
1491604,2025-07-10,Bulgaria,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Sofia,Gibraltar,field,Gibraltar,T20,completed
